id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
2,1,1,1,https://10-2-2-227-7777-p.vpn.wru.edu.cn,10-2-2-227-7777-p.vpn.wru.edu.cn,2,10-2-2-227-7777-p.vpn.wru.edu.cn,125.220.120.85,1,1,443,200,OK,'\n\n\n\n\n\n\n\n\r\nYour browser does not support JavaScript (or it is blocked). Please check your browser settings and make sure it supports JavaScript.\r\n\n\n\n\n\n',Server,125.220.120.0/23,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Altdns
1,0,0,1,http://dns2.wru.edu.cn,dns2.wru.edu.cn,1,dns2.wru.edu.cn,125.220.120.18,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='dns2.wru.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E721DAC1D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"",),)",,,125.220.120.0/23,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,QueryNS
